LHNo,flagged,reasons,identity_sensitive,confidence,baseline_category,proposed_category,baseline_tags,proposed_tags,baseline_description,proposed_description,subject,date,filename
75-0475,True,description_error; low_confidence(0.78); doubts(1),False,0.78,Disasters & Floods,Disasters & Floods,flooded street; commercial buildings; 1972 flood; black and white photograph; corning ny,flooded street; commercial buildings; 1972 flood; black and white photograph; corning ny,"A black and white photograph documenting the 1972 flood in Corning, NY, showing commercial buildings and storefronts submerged in floodwater with a person wading through the inundated street.","A black and white photograph documenting the 1972 flood in Corning, NY, showing commercial buildings and storefronts surrounded by floodwater at street level.",Floods,1972,lh-75-0475.jpg
75-0476,True,description_error; low_confidence(0.75),False,0.75,Disasters & Floods,Disasters & Floods,flood damage; railroad tracks; debris; rural area; black and white photograph,flood damage; railroad tracks; debris; rural area; black and white photograph,"This 1972 photograph documents flood damage in Corning, NY, showing displaced railroad tracks, scattered debris, and destroyed infrastructure amid floodwaters, with residential buildings visible in the background.","This 1972 photograph documents flood damage in Corning, NY, showing displaced railroad tracks, scattered debris, and destroyed infrastructure in muddy terrain with standing water, with residential buildings visible in the background.",Floods,1972,lh-75-0476.jpg
75-0477,True,description_error,False,0.95,Disasters & Floods,Disasters & Floods,flooded factory interior; industrial equipment submerged; 1972 flood damage; corning glass works; black and white photograph,flooded factory interior; industrial equipment submerged; 1972 flood damage; corning glass works; black and white photograph,"This black and white photograph documents the interior of the Corning Glass Works facility severely flooded during the 1972 flood event, showing industrial machinery and equipment partially submerged in water throughout the factory floor.","This black and white photograph documents the interior of the Corning Glass Works facility during the 1972 flood event, showing industrial machinery and equipment elevated on platforms and tables above floodwater covering the factory floor.",Corning Glass Works Floods,1972,lh-75-0477.jpg
75-0479,True,description_error; low_confidence(0.72); doubts(1),False,0.72,Sports & Recreation,Sports & Recreation,baseball stadium; crowded bleachers; mid-century; black and white photograph; forested hillside,baseball stadium; crowded bleachers; mid-century; black and white photograph; forested hillside,"A black and white photograph showing a baseball stadium filled with spectators in the bleachers, with a modern press box structure visible on the roof and forested hills in the background under a cloudy sky.","A black and white photograph showing a large stadium filled with spectators in the bleachers, with a modern press box structure visible on the roof and forested hills in the background under a cloudy sky.",Baseball,NULL,lh-75-0479.jpg
75-0480,True,description_error,False,0.85,Disasters & Floods,Disasters & Floods,flooded street; submerged automobiles; residential neighborhood; 1972 flood; black and white photograph,flooded street; submerged automobiles; residential neighborhood; 1972 flood; black and white photograph,"This black and white photograph documents a devastating flood in Corning, NY in 1972, showing a residential street completely inundated with water, multiple automobiles partially submerged, utility poles and power lines, and houses lining both sides of the street amid the flood damage.","This black and white photograph documents a devastating flood in Corning, NY in 1972, showing a residential area with floodwaters covering the ground, automobiles and debris scattered amid the flood damage, utility poles and power lines, and houses lining the area.",Floods,1972,lh-75-0480.jpg
75-0481,True,description_error; low_confidence(0.75); doubts(1),False,0.75,Disasters & Floods,Disasters & Floods,flooded area; power lines; residential buildings; 1972 flood; black and white photograph,flooded area; power lines; residential buildings; 1972 flood; black and white photograph,"This black and white photograph documents the 1972 Corning flood, showing an expansive flooded landscape with submerged power lines, displaced industrial equipment and debris floating in floodwaters, residential structures visible in the background, and a utility vehicle in the foreground on higher ground.","This black and white photograph documents the 1972 Corning flood, showing an expansive flooded landscape with submerged power lines, residential structures visible in the background, and industrial/construction equipment and machinery on a concrete platform or dock structure in the foreground at the water's edge.",Floods,1972,lh-75-0481.jpg
75-0482,True,description_error; low_confidence(0.75),False,0.75,Disasters & Floods,Disasters & Floods,flooded street; submerged vehicles; bridge; 1972 flood; black and white photograph,flooded street; submerged vehicles; bridge; 1972 flood; black and white photograph,"A black and white photograph documenting the 1972 flood in Corning, NY, showing a bridge partially submerged in floodwaters with several automobiles underwater and trees visible in the background.","A black and white photograph documenting the 1972 flood in Corning, NY, showing a bridge submerged in floodwaters with several automobiles underwater and trees visible in the background.",Floods,1972,lh-75-0482.jpg
75-0483,True,description_error; tags_error; low_confidence(0.78); doubts(1),False,0.78,Disasters & Floods,Disasters & Floods,flooded residential area; overturned truck; 1972 flood damage; corning ny; black and white photograph,flooded residential area; capsized tanker/industrial vehicle; 1972 flood damage; corning ny; black and white photograph,"This black and white photograph documents the devastating 1972 flood in Corning, NY, showing an overturned truck submerged in floodwaters with residential houses and utility poles visible in the background amid the flood damage.","This black and white photograph documents the devastating 1972 flood in Corning, NY, showing a capsized tanker or industrial vehicle tilted in floodwaters with residential houses and utility poles visible in the background amid the flood damage.",Floods,1972,lh-75-0483.jpg
75-0484,True,description_error; low_confidence(0.72); doubts(1),True,0.72,Disasters & Floods,Disasters & Floods,flooded factory; corning glass works; 1972 flood; industrial damage; black and white photograph,flooded factory; corning glass works; 1972 flood; industrial damage; black and white photograph,"This black and white photograph documents the interior of a Corning Glass Works facility severely flooded in 1972, showing a worker wading through floodwaters amid scattered industrial equipment, chairs, and debris, with large gridded windows visible in the background of the industrial building.","This black and white photograph documents the interior of a Corning Glass Works facility severely flooded in 1972, showing a person amid floodwaters and scattered industrial equipment, chairs, and debris, with large gridded windows visible in the background of the industrial building.",Corning Glass Works Floods,1972,lh-75-0484.jpg
75-0485,True,low_confidence(0.75); doubts(1),False,0.75,Disasters & Floods,Disasters & Floods,flood damage; industrial building; debris; 1972 flood; black and white photograph,flood damage; industrial building; debris; 1972 flood; black and white photograph,"This black and white photograph documents severe flood damage to an industrial facility in Corning, NY in 1972, showing a destroyed interior with scattered debris, damaged metal structures, and destroyed equipment amid mud and wreckage from the Corning Glass Works flood.","This black and white photograph documents severe flood damage to an industrial facility in Corning, NY in 1972, showing a destroyed interior with scattered debris, damaged metal structures, and destroyed equipment amid mud and wreckage from the Corning Glass Works flood.",Corning Glass Works Floods,1972,lh-75-0485.jpg
75-0486,True,description_error; doubts(1),False,0.85,Disasters & Floods,Disasters & Floods,flood damage; residential street; 1972 disaster; corning ny; black and white photograph,flood damage; residential street; 1972 disaster; corning ny; black and white photograph,"This black and white photograph documents flood damage in a Corning, New York residential neighborhood in 1972, showing debris-strewn yards, damaged vegetation, and displaced materials along a street lined with houses and utility poles.","This black and white photograph documents flood damage in a Corning, New York residential neighborhood in 1972, showing uprooted trees, fallen logs, and debris scattered in yards and along a street lined with houses and utility poles.",Floods,1972,lh-75-0486.jpg
75-0487,False,,True,0.92,People & Portraits,People & Portraits,portrait; woman; profile; early 20th century; black and white photograph,portrait; woman; profile; early 20th century; black and white photograph,"A black and white portrait photograph showing a woman in profile wearing glasses and a white blouse with lace detailing at the neckline and shoulders, photographed against a dark background in what appears to be an early 20th-century studio portrait style.","A black and white portrait photograph showing a woman in profile wearing glasses and a white blouse with lace detailing at the neckline and shoulders, photographed against a dark background in what appears to be an early 20th-century studio portrait style.",NULL,NULL,lh-75-0487.jpg
75-0488,True,description_error; low_confidence(0.78); doubts(1),False,0.78,People & Portraits,People & Portraits,young child; indoor portrait; black and white photograph; early 20th century; patterned rug,young child; indoor portrait; black and white photograph; early 20th century; patterned rug,"A black and white photograph of a young child standing indoors wearing light-colored clothing, positioned on a patterned rug with decorative geometric designs.","A black and white photograph of a young child standing indoors wearing light-colored upper clothing and dark trousers, holding a hoop, positioned on a patterned floor or backdrop with decorative geometric designs.",NULL,NULL,lh-75-0488.jpg
75-0489,True,category_change(Glass & Decorative Arts -> Streetscapes & Architecture),False,0.85,Glass & Decorative Arts,Streetscapes & Architecture,brick building; arched windows; architectural detail; gothic revival; black and white photograph,brick building; arched windows; architectural detail; gothic revival; black and white photograph,"A black and white photograph showing the upper facade of a brick building featuring two arched windows with latticed panes, decorative stone corbels, and ornamental architectural detailing typical of Gothic Revival or late 19th-century institutional architecture.","A black and white photograph showing the upper facade of a brick building featuring two arched windows with latticed panes, decorative stone corbels, and ornamental architectural detailing typical of Gothic Revival or late 19th-century institutional architecture.",NULL,NULL,lh-75-0489.jpg
75-0490,False,,False,0.85,Disasters & Floods,Disasters & Floods,flooded landscape; utility poles; wooden structure; forested hillside; black and white photograph,flooded landscape; utility poles; wooden structure; forested hillside; black and white photograph,"A black and white photograph showing a flooded area in Corning, NY with a small wooden structure partially submerged in water, utility poles visible across the landscape, and densely forested hills in the background.","A black and white photograph showing a flooded area in Corning, NY with a small wooden structure partially submerged in water, utility poles visible across the landscape, and densely forested hills in the background.",Floods,NULL,lh-75-0490.jpg
75-0491,False,,False,0.85,Disasters & Floods,Disasters & Floods,flooded landscape; bare trees; rural area; black and white photograph; water damage,flooded landscape; bare trees; rural area; black and white photograph; water damage,"A black and white photograph showing extensive flooding in a rural area near Corning, NY, with bare trees partially submerged in floodwaters, utility poles visible in the distance, and hills in the background.","A black and white photograph showing extensive flooding in a rural area near Corning, NY, with bare trees partially submerged in floodwaters, utility poles visible in the distance, and hills in the background.",Floods,NULL,lh-75-0491.jpg
75-0492,True,description_error; low_confidence(0.78),True,0.78,People & Portraits,People & Portraits,portrait; man; book; black and white photograph; early 20th century,portrait; man; book; black and white photograph; early 20th century,A black and white portrait photograph of an elderly man in formal attire examining or reading from an open book or document.,A black and white portrait photograph of an elderly man in formal attire displaying or presenting an open book or illustrated publication.,NULL,NULL,lh-75-0492.jpg
75-0493,True,description_error; tags_error; category_flip(Streetscapes & Architecture -> Education),False,0.92,Streetscapes & Architecture,Education,historic building; brick architecture; tree-lined approach; black and white photograph; early 20th century,historic building; stone architecture; tree-lined approach; black and white photograph; early 20th century,"A black and white photograph showing a substantial brick institutional building with Victorian architecture, framed by mature trees along a central pathway, located in Addison, New York.","A black and white photograph showing a substantial stone institutional building with Victorian architecture, framed by mature trees along a central pathway, located in Addison, New York. A sign on the building reads 'GRAMMAR SCHOOL.'","Addison, N.Y.",NULL,lh-75-0493.jpg
75-0494,True,description_error,False,0.85,Education,Education,addison high school; neoclassical architecture; brick building; black and white photograph; mid-20th century,addison high school; neoclassical architecture; brick building; black and white photograph; mid-20th century,"A black and white photograph of Addison High School in Addison, N.Y., showing a symmetrical neoclassical brick building with a central portico, cupola, and columned entrance, flanked by mature trees along a straight driveway approach.","A black and white photograph of Addison High School in Addison, N.Y., showing a large brick institutional building with a central neoclassical facade featuring columned entrance and cupola, flanked by substantial multi-story brick wings, with mature trees along a straight driveway approach.","Addison, N.Y.",NULL,lh-75-0494.jpg
75-0495,True,category_change(Domestic & Family Life -> Streetscapes & Architecture),False,0.85,Domestic & Family Life,Streetscapes & Architecture,sanitarium; addison new york; historic building; wooden structure; black and white photograph,sanitarium; addison new york; historic building; wooden structure; black and white photograph,"A black and white photograph labeled ""Sanitarium Addison, N.Y."" shows a two-story wooden building with wraparound porches, multiple windows, and a chimney, situated on snowy ground with bare trees nearby.","A black and white photograph labeled ""Sanitarium Addison, N.Y."" shows a two-story wooden building with wraparound porches, multiple windows, and a chimney, situated on snowy ground with bare trees nearby.","Addison, N.Y.",NULL,lh-75-0495.jpg
75-0496,False,,False,0.92,Transportation,Transportation,railroad depot; wooden building; addison new york; black and white photograph; historic architecture,railroad depot; wooden building; addison new york; black and white photograph; historic architecture,"This black and white photograph shows the B. & S. Depot in Addison, New York, a wooden railroad station building with multiple chimneys, large windows, and a covered platform area.","This black and white photograph shows the B. & S. Depot in Addison, New York, a wooden railroad station building with multiple chimneys, large windows, and a covered platform area.","Addison, N.Y.",NULL,lh-75-0496.jpg
75-0497,False,,False,0.95,Streetscapes & Architecture,Streetscapes & Architecture,brick building; city hall; american house; addison new york; black and white photograph,brick building; city hall; american house; addison new york; black and white photograph,"A black and white photograph labeled ""American House and City Hall, Addison, N.Y."" showing a large brick building with a distinctive cupola and multiple stories, alongside utility poles and a smaller structure, representing early 20th-century civic architecture in Addison, New York.","A black and white photograph labeled ""American House and City Hall, Addison, N.Y."" showing a large brick building with a distinctive cupola and multiple stories, alongside utility poles and a smaller structure, representing early 20th-century civic architecture in Addison, New York.","Addison, N.Y.",NULL,lh-75-0497.jpg
75-0498,True,description_error,False,0.92,Transportation,Transportation,railroad depot; addison new york; baggage room; water tower; black and white photograph,railroad depot; addison new york; baggage room; water tower; black and white photograph,"This black and white photograph shows the railroad depot in Addison, N.Y., featuring a baggage room building with a wooden water tower, utility poles, and forested hillside in the background, with railroad tracks visible in the foreground.","This black and white photograph shows the railroad depot in Addison, N.Y., featuring a main baggage room building with a separate wooden water tower to the left, utility poles, and forested hillside in the background, with railroad tracks visible in the foreground.","Addison, N.Y.",NULL,lh-75-0498.jpg
75-0499,False,,False,0.95,Industry & Manufacturing,Industry & Manufacturing,sash blind factory; addison new york; industrial building; black and white photograph; early 20th century,sash blind factory; addison new york; industrial building; black and white photograph; early 20th century,"This black and white photograph shows the Sash Blind Factory in Addison, N.Y., featuring industrial steel-frame structures with corrugated metal siding, tall support poles, and manufacturing equipment typical of early 20th-century industrial architecture.","This black and white photograph shows the Sash Blind Factory in Addison, N.Y., featuring industrial steel-frame structures with corrugated metal siding, tall support poles, and manufacturing equipment typical of early 20th-century industrial architecture.","Addison, N.Y.",NULL,lh-75-0499.jpg
75-0500,True,description_error,False,0.95,Commerce & Business,Commerce & Business,main street; addison new york; early automobile; brick buildings; historic downtown,main street; addison new york; early automobile; brick buildings; historic downtown,"A street scene looking north on an unnamed street in Addison, N.Y., showing early 20th-century commercial buildings including a farmers' shoe store on the left, with period automobiles and pedestrians on an unpaved road lined with brick structures and hills in the background.","A street scene looking north on a street in Addison, N.Y., showing early 20th-century commercial buildings including a farmers' shoe store on the left, with period automobiles and pedestrians on an unpaved road lined with wooden structures and hills in the background.","Addison, N.Y.",NULL,lh-75-0500.jpg
75-0501,False,,True,0.92,People & Portraits,People & Portraits,stereoscopic photograph; man at desk; early 20th century; black and white; office interior,stereoscopic photograph; man at desk; early 20th century; black and white; office interior,"A stereoscopic card showing a mustachioed man in formal business attire seated at a desk with papers and office materials, photographed twice side-by-side for three-dimensional viewing.","A stereoscopic card showing a mustachioed man in formal business attire seated at a desk with papers and office materials, photographed twice side-by-side for three-dimensional viewing.",NULL,NULL,lh-75-0501.jpg
75-0502,False,,True,0.92,Military & War,Military & War,military ribbon; grand army of the republic; general h.l. thomas; cincinnati ohio; black and white photograph,military ribbon; grand army of the republic; general h.l. thomas; cincinnati ohio; black and white photograph,"A black and white photograph of a commemorative ribbon for General H.L. Thomas Post No. 43, G.A.R. (Grand Army of the Republic) located in Cincinnati, Ohio, featuring military insignia and a dangling fringe.","A black and white photograph of a commemorative ribbon for General H.L. Thomas Post No. 43, G.A.R. (Grand Army of the Republic) located in Cincinnati, Ohio, featuring military insignia and a dangling fringe.",NULL,NULL,lh-75-0502.jpg
75-0503,True,description_error; low_confidence(0.78); doubts(1),False,0.78,Landscapes & Natural Features,Landscapes & Natural Features,seneca lake; branchport; agricultural landscape; rural new york; black and white photograph,seneca lake; branchport; agricultural landscape; rural new york; black and white photograph,"A black and white photograph labeled ""Seneca Lake at Branchport, N.Y"" showing a scenic view of Seneca Lake surrounded by forested hills, with agricultural fields in the foreground and scattered buildings visible along the shoreline.","A black and white photograph labeled ""Seneca Lake at Branchport, N.Y"" showing a dense hops or vine crop field in the foreground with Seneca Lake and forested hills visible beyond, with scattered buildings along the shoreline.","Branchport, N.Y. ",NULL,lh-75-0503.jpg
75-0504,True,description_error; doubts(1),True,0.85,People & Portraits,People & Portraits,portrait; religious figure; clergy; formal dress; black and white photograph,portrait; religious figure; clergy; formal dress; black and white photograph,"A formal black and white portrait photograph of a man wearing religious vestments including a cross-topped hat, formal black coat with a white sash or stole, and holding what appears to be a ceremonial staff or crosier, suggesting he is a high-ranking member of the clergy.","A formal black and white portrait photograph of a man wearing religious vestments including a cross-topped hat, formal black coat with a white sash or stole, and holding what appears to be a scroll or rolled document, suggesting he is a high-ranking member of the clergy.",NULL,NULL,lh-75-0504.jpg
75-0505,False,,True,0.85,People & Portraits,People & Portraits,portrait photograph; bearded man; 19th century; oval vignette; black and white photograph,portrait photograph; bearded man; 19th century; oval vignette; black and white photograph,"A black and white oval-framed portrait photograph of a bearded middle-aged man wearing a jacket and bow tie, typical of mid-to-late 19th century photographic portraiture style.","A black and white oval-framed portrait photograph of a bearded middle-aged man wearing a jacket and bow tie, typical of mid-to-late 19th century photographic portraiture style.",NULL,NULL,lh-75-0505.jpg
75-0506,True,description_error,True,0.92,People & Portraits,People & Portraits,portrait photograph; black and white; woman; 19th century; formal dress,portrait photograph; black and white; woman; 19th century; formal dress,"A black and white portrait photograph of a woman in profile wearing dark clothing with a white collar and decorative brooch, typical of 19th-century formal portraiture.","A black and white portrait photograph of a man in profile wearing dark clothing with a white collar and decorative brooch, typical of 19th-century formal portraiture.",NULL,NULL,lh-75-0506.jpg
75-0507,False,,True,0.92,People & Portraits,People & Portraits,portrait photograph; man; formal attire; ornate frame; black and white photograph,portrait photograph; man; formal attire; ornate frame; black and white photograph,"A formal black and white portrait photograph of Samuel Curlyeye Erwin Sr., a man wearing a dark suit jacket and bow tie, presented within an ornate decorative oval frame with detailed border patterns.","A formal black and white portrait photograph of Samuel Curlyeye Erwin Sr., a man wearing a dark suit jacket and bow tie, presented within an ornate decorative oval frame with detailed border patterns.",Samuel Curlyeye Erwin Sr. ,NULL,lh-75-0507.jpg
75-0508,False,,True,0.95,People & Portraits,People & Portraits,portrait; elderly man; formal attire; bow tie; 19th century photograph,portrait; elderly man; formal attire; bow tie; 19th century photograph,"A black and white portrait photograph of an elderly man with white hair wearing formal 19th-century attire including a dark jacket and bow tie, shown in three-quarter view against a plain background.","A black and white portrait photograph of an elderly man with white hair wearing formal 19th-century attire including a dark jacket and bow tie, shown in three-quarter view against a plain background.",NULL,NULL,lh-75-0508.jpg
75-0509,True,description_error; low_confidence(0.75),True,0.75,People & Portraits,People & Portraits,portrait photograph; woman; bonnet; oval frame; black and white photograph,portrait photograph; woman; bonnet; oval frame; black and white photograph,"A black and white portrait photograph of Sarah Clark Erwin wearing a dark dress with a white collar and a white bonnet, presented in an oval frame mat.","A black and white portrait photograph of Sarah Clark Erwin wearing a dark dress with a white collar and a white cap with lappets, presented in an oval frame mat.",Sarah Clark Erwin,NULL,lh-75-0509.jpg
75-0510,False,,False,0.95,Streetscapes & Architecture,Streetscapes & Architecture,presbyterian church; avoca ny; brick building; church tower; early 20th century; black and white photograph,presbyterian church; avoca ny; brick building; church tower; early 20th century; black and white photograph,"A black and white photograph labeled ""Presbyterian Church, Avoca, N.Y."" showing a brick church building with a distinctive square tower and steeple, adjacent residential structures, and bare trees, typical of early 20th-century rural New York architecture.","A black and white photograph labeled ""Presbyterian Church, Avoca, N.Y."" showing a brick church building with a distinctive square tower and steeple, adjacent residential structures, and bare trees, typical of early 20th-century rural New York architecture.","Avoca, N.Y.",NULL,lh-75-0510.jpg
75-0511,True,description_error; doubts(1),True,0.85,People & Portraits,People & Portraits,portrait photograph; child; 19th century clothing; studio photograph; black and white,portrait photograph; child; 19th century clothing; studio photograph; black and white,"A studio portrait photograph of a young child identified as Julia Fox, wearing a dark dress with white collar and sleeves, holding what appears to be a small object in one hand while standing against a plain backdrop.","A studio portrait photograph of a young child identified as Julia Fox, wearing a dark dress with white collar and sleeves, holding a large spherical object in one hand and what appears to be a paddle or bat in the other hand while standing against a plain backdrop.",Julia Fox,NULL,lh-75-0511.jpg
75-0512,True,description_error,False,0.95,Streetscapes & Architecture,Streetscapes & Architecture,avoca new york; main street; historic buildings; 19th century architecture; black and white photograph,avoca new york; main street; historic buildings; 19th century architecture; black and white photograph,"A black and white photograph showing the corner of East Avenue and Main Street in Avoca, N.Y., featuring a prominent two-story brick house with Gothic Revival architectural details and bare trees, with additional buildings visible in the background.","A black and white photograph showing the corner of East Avenue and Main Street in Avoca, N.Y., featuring a prominent two-story wood-sided house with Gothic Revival architectural details and bare trees, with additional buildings visible in the background.","Avoca, N.Y.",NULL,lh-75-0512.jpg
75-0513,True,description_error; doubts(1),False,0.85,Industry & Manufacturing,Industry & Manufacturing,industrial facility; railroad tracks; rural landscape; early 20th century; black and white photograph,industrial facility; railroad tracks; rural landscape; early 20th century; black and white photograph,"An aerial view of an industrial complex with factory buildings, smokestacks, and railroad infrastructure nestled in a forested, hilly landscape with a winding river or waterway, typical of early industrial development in the Corning, NY region.","A view of an industrial complex with factory buildings, smokestacks, and railroad infrastructure nestled in a forested, hilly landscape with a winding river or waterway, typical of early industrial development in the Corning, NY region.",NULL,NULL,lh-75-0513.jpg
75-0514,True,description_error; doubts(1),False,0.85,Commerce & Business,Commerce & Business,waterfront building; industrial architecture; river; black and white photograph; mid-20th century,waterfront building; industrial architecture; river; black and white photograph; mid-20th century,"A black and white photograph showing a waterfront industrial or commercial building with distinctive arched windows situated along a river, surrounded by dense trees and vegetation, with a small outbuilding visible on the right side.","A black and white photograph showing a waterfront industrial or commercial building with distinctive large rectangular garage doors and grid-paned windows situated along a river, surrounded by dense trees and vegetation, with a small outbuilding visible on the right side.",NULL,NULL,lh-75-0514.jpg
75-0515,False,,True,0.85,People & Portraits,People & Portraits,portrait; child; early 20th century; black and white photograph; lace collar,portrait; child; early 20th century; black and white photograph; lace collar,"A black and white portrait photograph of a young girl wearing a light-colored dress with an ornate lace collar, looking toward the camera with a serious expression, with partial figures of other people visible in the background.","A black and white portrait photograph of a young girl wearing a light-colored dress with an ornate lace collar, looking toward the camera with a serious expression, with partial figures of other people visible in the background.",NULL,NULL,lh-75-0515.jpg
75-0516,True,category_change(Civic Life & Events -> People & Portraits),True,0.85,Civic Life & Events,People & Portraits,portrait photograph; man; formal suit; black and white; early 20th century,portrait photograph; man; formal suit; black and white; early 20th century,"A formal black and white portrait photograph of a middle-aged man wearing a dark suit and white dress shirt, with the archive reference number 48 visible in the upper left corner.","A formal black and white portrait photograph of a middle-aged man wearing a dark suit and white dress shirt, with the archive reference number 48 visible in the upper left corner.",NULL,NULL,lh-75-0516.jpg
75-0517,False,,True,0.92,People & Portraits,People & Portraits,portrait photograph; seated man; formal attire; early 20th century; black and white photograph,portrait photograph; seated man; formal attire; early 20th century; black and white photograph,"A formal black and white portrait photograph of a bald man wearing a dark suit and tie, seated on a stool against a plain backdrop, dating to the early 20th century.","A formal black and white portrait photograph of a bald man wearing a dark suit and tie, seated on a stool against a plain backdrop, dating to the early 20th century.",NULL,NULL,lh-75-0517.jpg
75-0518,False,,True,0.85,People & Portraits,People & Portraits,portrait photograph; woman; early 20th century; formal dress; beaded headband,portrait photograph; woman; early 20th century; formal dress; beaded headband,"A black and white portrait photograph of a smiling woman wearing a beaded headband, pearl necklace, and light-colored formal dress with decorative details, typical of early 1900s studio portraiture.","A black and white portrait photograph of a smiling woman wearing a beaded headband, pearl necklace, and light-colored formal dress with decorative details, typical of early 1900s studio portraiture.",NULL,NULL,lh-75-0518.jpg
75-0519,True,description_error; low_confidence(0.65); doubts(1),True,0.65,Education,Education,class picture; formal group portrait; brick building; mid-20th century; black and white photograph,class picture; formal group portrait; brick building; mid-20th century; black and white photograph,"A formal class photograph showing approximately 60-70 students and faculty posed in rows in front of a large arched brick doorway or tunnel entrance, with the women wearing white dresses and holding bouquets and the men in dark suits.","A formal group photograph showing approximately 60-70 people posed in rows in front of a large arched brick doorway or tunnel entrance, with many of the women wearing white dresses and holding bouquets and the men in dark suits.",Class Pictures ,NULL,lh-75-0519.jpg
75-0520,True,description_error,False,0.92,Industry & Manufacturing,Industry & Manufacturing,construction site; excavation; wooden framework; earth moving; black and white photograph,construction site; excavation; wooden framework; earth moving; black and white photograph,"A black and white photograph showing an active construction or excavation site with large earthen embankments, wooden structural framing, and workers visible in the distance amid the disturbed soil and construction materials.","A black and white photograph showing an active construction or excavation site with large earthen embankments, wooden structural framing, and construction equipment amid the disturbed soil and construction materials.",Construction,NULL,lh-75-0520.jpg
75-0521,True,description_error,False,0.92,Industry & Manufacturing,Industry & Manufacturing,construction site; corning ny; mid-20th century; black and white photograph; urban development,construction site; corning ny; mid-20th century; black and white photograph; urban development,"A black and white photograph showing an active construction site in Corning, NY with workers, wooden framework, brick buildings, utility poles, and construction materials visible in what appears to be a downtown urban development project from the mid-20th century.","A black and white photograph showing an active construction site in Corning, NY with workers, steel framework, brick buildings, utility poles, and construction materials visible in what appears to be a downtown urban development project from the mid-20th century.",Construction,NULL,lh-75-0521.jpg
75-0522,True,description_error; low_confidence(0.75),False,0.75,Industry & Manufacturing,Industry & Manufacturing,construction site; wooden scaffolding; concrete pillars; black and white photograph; mid-20th century,construction site; wooden scaffolding; concrete pillars; black and white photograph; mid-20th century,"A black and white photograph showing an active construction site with concrete support columns, wooden scaffolding, ladders, and various building materials, with residential structures visible in the background.","A black and white photograph showing an active construction site with wooden beams and scaffolding, concrete support pillars, ladders, and various building materials, with residential structures visible in the background.",Construction,NULL,lh-75-0522.jpg
75-0523,False,,False,0.92,Industry & Manufacturing,Industry & Manufacturing,construction site; wooden pilings; foundation work; hillside landscape; black and white photograph,construction site; wooden pilings; foundation work; hillside landscape; black and white photograph,"A black and white photograph showing an active construction site with wooden pilings and foundation work in progress, set against a hillside landscape with trees and buildings visible in the background, likely from mid-20th century Corning, NY.","A black and white photograph showing an active construction site with wooden pilings and foundation work in progress, set against a hillside landscape with trees and buildings visible in the background, likely from mid-20th century Corning, NY.",Construction,NULL,lh-75-0523.jpg
75-0524,True,description_error; low_confidence(0.75); doubts(1),False,0.75,Industry & Manufacturing,Industry & Manufacturing,drainage pipe; industrial infrastructure; overgrown vegetation; water flow; black and white photograph,drainage pipe; industrial infrastructure; overgrown vegetation; water flow; black and white photograph,"A black and white photograph showing a large drainage or sewage pipe discharging water into a stream, surrounded by overgrown vegetation and industrial structures in the background, documenting infrastructure conditions in Corning, NY.","A black and white photograph showing a large drainage or sewage pipe lying in or partially submerged in a stream, surrounded by overgrown vegetation and industrial structures in the background, documenting infrastructure conditions in Corning, NY.",NULL,NULL,lh-75-0524.jpg
75-0525,True,tags_error; lexicon_risky_object(beach),True,0.95,Transportation,Transportation,early aviation; biplane; beach; men in period clothing; black and white photograph,early aviation; triplane; beach; men in period clothing; black and white photograph,"A group of men pose beside a large early biplane aircraft on a sandy beach, likely from the 1910s-1920s era of aviation history.","A group of men pose beside a large early biplane aircraft on a sandy beach, likely from the 1910s-1920s era of aviation history.",Airplanes,NULL,lh-75-0525.jpg
75-0526,True,description_error; low_confidence(0.72); doubts(1),False,0.72,Glass & Decorative Arts,Glass & Decorative Arts,firehouse; patriotic bunting; brick building; early 20th century; black and white photograph,firehouse; patriotic bunting; brick building; early 20th century; black and white photograph,"A brick firehouse in Corning, NY is elaborately decorated with patriotic bunting and flags for a Fireman's Convention, featuring multiple arched windows and ornamental swags across its facade.","A brick civic or commercial building in Corning, NY is elaborately decorated with patriotic bunting and flags, featuring multiple arched windows and ornamental swags across its facade.",Fireman's Convention,NULL,lh-75-0526.jpg
75-0527,True,description_error; tags_error; category_change(People & Portraits -> Transportation),True,0.92,People & Portraits,Transportation,airplane cockpit; men; vintage aircraft; black and white photograph; early aviation,airplane cabin; men; vintage aircraft; black and white photograph; early aviation,"Three men are visible in the cockpit of a vintage aircraft, with one man positioned at the controls and two others seated nearby, showing early aviation personnel in what appears to be a mid-20th century aircraft interior.","Three men are visible in the cabin of a vintage aircraft, positioned at or near a window opening in the fuselage, showing early aviation personnel in what appears to be a mid-20th century aircraft interior.",Airplanes,NULL,lh-75-0527.jpg
75-0528,True,description_error; doubts(1); lexicon_group_identity(native american),True,0.85,Civic Life & Events,Civic Life & Events,museum display; taxidermied deer; Native American figure; black and white photograph; interior exhibition,museum display; taxidermied deer; Native American figure; black and white photograph; interior exhibition,"A black and white photograph of a museum display at the Erwin Museum showing a Native American figure with a taxidermied deer head mount above, surrounded by various artifacts and exhibition materials in glass cases.","A black and white photograph of a museum display at the Erwin Museum showing a painted Native American figure with a taxidermied deer head mount above, surrounded by various artifacts and exhibition materials in glass cases.",Erwin Museum,NULL,lh-75-0528.jpg
